timestamp,open,high,low,close,vwap,volume,count
2024-12-29 14:15:00,0.401,0.401,0.4,0.4,0.4,7760.0,2
2024-12-29 14:30:00,0.397,0.397,0.397,0.397,0.397,115.86901763,1
2024-12-29 14:45:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-29 15:00:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-29 15:15:00,0.398,0.398,0.397,0.397,0.397,76.77322,2
2024-12-29 15:30:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-29 15:45:00,0.398,0.398,0.398,0.398,0.398,329.79134,1
2024-12-29 16:00:00,0.399,0.399,0.396,0.396,0.396,235.31055793,3
2024-12-29 16:15:00,0.395,0.395,0.395,0.395,0.395,87.0,1
2024-12-29 16:30:00,0.394,0.394,0.394,0.394,0.394,464.0,1
2024-12-29 16:45:00,0.393,0.393,0.393,0.393,0.393,20014.03508772,9
2024-12-29 17:00:00,0.393,0.393,0.393,0.393,0.0,0.0,0
2024-12-29 17:15:00,0.392,0.392,0.392,0.392,0.392,191.36440169,3
2024-12-29 17:30:00,0.392,0.392,0.392,0.392,0.0,0.0,0
2024-12-29 17:45:00,0.392,0.392,0.392,0.392,0.392,26.8,1
2024-12-29 18:00:00,0.392,0.392,0.392,0.392,0.0,0.0,0
2024-12-29 18:15:00,0.392,0.392,0.392,0.392,0.0,0.0,0
2024-12-29 18:30:00,0.392,0.392,0.392,0.392,0.0,0.0,0
2024-12-29 18:45:00,0.392,0.392,0.392,0.392,0.0,0.0,0
2024-12-29 19:00:00,0.393,0.393,0.393,0.393,0.393,9100.22137772,4
2024-12-29 19:15:00,0.392,0.394,0.392,0.394,0.393,55819.63857233,30
2024-12-29 19:30:00,0.393,0.393,0.392,0.393,0.392,264.84798983,4
2024-12-29 19:45:00,0.394,0.394,0.392,0.393,0.392,346.38467091,5
2024-12-29 20:00:00,0.393,0.393,0.39,0.39,0.391,352.50743928,5
2024-12-29 20:15:00,0.39,0.39,0.39,0.39,0.39,1609.35897436,1
2024-12-29 20:30:00,0.39,0.39,0.39,0.39,0.39,757.09962,1
2024-12-29 20:45:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-29 21:00:00,0.394,0.394,0.394,0.394,0.394,96.384865,3
2024-12-29 21:15:00,0.392,0.392,0.392,0.392,0.392,3.48525,1
2024-12-29 21:30:00,0.393,0.393,0.393,0.393,0.393,9000.0,1
2024-12-29 21:45:00,0.39,0.39,0.39,0.39,0.39,12.29432,1
2024-12-29 22:00:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-29 22:15:00,0.388,0.389,0.388,0.389,0.388,5173.11532754,3
2024-12-29 22:30:00,0.389,0.389,0.389,0.389,0.0,0.0,0
2024-12-29 22:45:00,0.389,0.389,0.389,0.389,0.0,0.0,0
2024-12-29 23:00:00,0.389,0.39,0.389,0.39,0.389,12645.2854,4
2024-12-29 23:15:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-29 23:30:00,0.39,0.39,0.39,0.39,0.39,7.90385,2
2024-12-29 23:45:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-30 00:00:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-30 00:15:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-30 00:30:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-30 00:45:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-30 01:00:00,0.39,0.39,0.39,0.39,0.0,0.0,0
2024-12-30 01:15:00,0.399,0.399,0.399,0.399,0.399,66.8002672,1
2024-12-30 01:30:00,0.403,0.403,0.403,0.403,0.403,620.34740402,3
2024-12-30 01:45:00,0.403,0.403,0.403,0.403,0.0,0.0,0
2024-12-30 02:00:00,0.403,0.403,0.403,0.403,0.0,0.0,0
2024-12-30 02:15:00,0.403,0.403,0.403,0.403,0.0,0.0,0
2024-12-30 02:30:00,0.403,0.403,0.403,0.403,0.0,0.0,0
2024-12-30 02:45:00,0.403,0.403,0.403,0.403,0.0,0.0,0
2024-12-30 03:00:00,0.402,0.402,0.402,0.402,0.402,85.34,1
2024-12-30 03:15:00,0.402,0.402,0.402,0.402,0.402,38.47748016,1
2024-12-30 03:30:00,0.401,0.401,0.401,0.401,0.401,310.40134,1
2024-12-30 03:45:00,0.4,0.4,0.4,0.4,0.4,72.30986756,2
2024-12-30 04:00:00,0.4,0.4,0.4,0.4,0.0,0.0,0
2024-12-30 04:15:00,0.4,0.4,0.4,0.4,0.4,56.45819,1
2024-12-30 04:30:00,0.4,0.4,0.4,0.4,0.0,0.0,0
2024-12-30 04:45:00,0.397,0.397,0.397,0.397,0.397,377.83375314,1
2024-12-30 05:00:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-30 05:15:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-30 05:30:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-30 05:45:00,0.397,0.397,0.397,0.397,0.0,0.0,0
2024-12-30 06:00:00,0.401,0.401,0.401,0.401,0.401,5791.33399668,2
2024-12-30 06:15:00,0.405,0.405,0.405,0.405,0.405,246.91358025,1
2024-12-30 06:30:00,0.405,0.405,0.405,0.405,0.0,0.0,0
2024-12-30 06:45:00,0.405,0.405,0.405,0.405,0.0,0.0,0
2024-12-30 07:00:00,0.405,0.405,0.405,0.405,0.0,0.0,0
2024-12-30 07:15:00,0.405,0.405,0.405,0.405,0.0,0.0,0
2024-12-30 07:30:00,0.399,0.399,0.399,0.399,0.399,269.57143257,2
2024-12-30 07:45:00,0.401,0.402,0.4,0.401,0.4,74542.34913258,33
2024-12-30 08:00:00,0.401,0.401,0.401,0.401,0.0,0.0,0
2024-12-30 08:15:00,0.403,0.403,0.403,0.403,0.403,12.40694789,1
2024-12-30 08:30:00,0.399,0.399,0.399,0.399,0.399,37.32472587,1
2024-12-30 08:45:00,0.399,0.399,0.399,0.399,0.0,0.0,0
2024-12-30 09:00:00,0.399,0.399,0.399,0.399,0.399,12.53132832,1
2024-12-30 09:15:00,0.399,0.399,0.399,0.399,0.0,0.0,0
2024-12-30 09:30:00,0.399,0.399,0.399,0.399,0.0,0.0,0
2024-12-30 09:45:00,0.399,0.399,0.399,0.399,0.0,0.0,0
2024-12-30 10:00:00,0.399,0.399,0.399,0.399,0.399,2506.26566416,1
2024-12-30 10:15:00,0.4,0.4,0.4,0.4,0.4,12.5,1
2024-12-30 10:30:00,0.397,0.397,0.397,0.397,0.397,53.44571039,2
2024-12-30 10:45:00,0.397,0.397,0.397,0.397,0.0,0.0,0
